attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,game_duration,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,weekday,year,month,day,period,field_type,start_time_weather
35397,Minnesota Twins,1,11,5,https://www.baseball-reference.com/boxes/WAS/WAS201604240.shtml,05:56:00,Washington Nationals,0,16,6,1:35 p.m.,Nationals Park,Sunday, 2016,April,24,Day Game, on grass,"4&deg; F, Wind 4mph out to Leftfield, Sunny."
46300,Oakland Athletics,0,5,3,https://www.baseball-reference.com/boxes/TOR/TOR201604240.shtml,02:44:00,Toronto Blue Jays,0,11,6,1:07 p.m.,Rogers Centre,Sunday, 2016,April,24,Day Game, on turf,"8&deg; F, Wind 0mph, In Dome."
41509,Miami Marlins,2,14,5,https://www.baseball-reference.com/boxes/SFN/SFN201604240.shtml,03:14:00,San Francisco Giants,0,12,4,1:05 p.m.,AT&T Park,Sunday, 2016,April,24,Day Game, on grass,"4&deg; F, Wind 20mph out to Centerfield, Cloudy."
37395,St. Louis Cardinals,2,14,8,https://www.baseball-reference.com/boxes/SDN/SDN201604240.shtml,03:35:00,San Diego Padres,1,9,5,1:42 p.m.,Petco Park,Sunday, 2016,April,24,Day Game, on grass,"0&deg; F, Wind 13mph from Left to Right, Sunny."
40981,Tampa Bay Rays,0,12,8,https://www.baseball-reference.com/boxes/NYA/NYA201604240.shtml,02:50:00,New York Yankees,0,6,1,1:08 p.m.,Yankee Stadium III,Sunday, 2016,April,24,Day Game, on grass,"0&deg; F, Wind 13mph out to Rightfield, Sunny."
28131,Philadelphia Phillies,2,10,5,https://www.baseball-reference.com/boxes/MIL/MIL201604240.shtml,02:49:00,Milwaukee Brewers,1,12,8,1:11 p.m.,Miller Park,Sunday, 2016,April,24,Day Game, on grass,"4&deg; F, Wind 0mph, In Dome."
34748,Baltimore Orioles,1,4,1,https://www.baseball-reference.com/boxes/KCA/KCA201604240.shtml,02:42:00,Kansas City Royals,0,11,6,1:15 p.m.,Kauffman Stadium,Sunday, 2016,April,24,Day Game, on grass,"9&deg; F, Wind 21mph from Right to Left, Sunny."
32416,Boston Red Sox,1,16,7,https://www.baseball-reference.com/boxes/HOU/HOU201604240.shtml,05:03:00,Houston Astros,3,11,5,7:08 p.m.,Minute Maid Park,Sunday, 2016,April,24,Night Game, on grass,"3&deg; F, Wind 0mph, In Dome."
31947,Cleveland Indians,0,11,6,https://www.baseball-reference.com/boxes/DET/DET201604240.shtml,03:20:00,Detroit Tigers,0,7,3,1:10 p.m.,Comerica Park,Sunday, 2016,April,24,Day Game, on grass,"7&deg; F, Wind 7mph in from Centerfield, Sunny."
35962,Los Angeles Dodgers,2,11,12,https://www.baseball-reference.com/boxes/COL/COL201604240.shtml,04:02:00,Colorado Rockies,1,11,10,2:11 p.m.,Coors Field,Sunday, 2016,April,24,Day Game, on grass,"3&deg; F, Wind 13mph out to Leftfield."
